product,synonyms
დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'თაბ.მუყ. ტიხრის აღდგენა', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული შეკიდული ჭერი (პლასტიკატი),"['არმსტრონგის (ნესტგამძლე) შეკიდული ჭერის მოწყობა', 'არმსტრონგის ჭერი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'შეკიდული ჭერი პლასტიკატი', 'შეკიდული ჭერის Pპროფილი', 'შეკიდული ჭერის ნათურა, დღის ნათებით']"
დაზიანებული ბარისოლის საფარის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბარისოლის მოწყობა', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული მინაპაკეტის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მინაპაკეტის ჩანაცვლება', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული თუნუქის სახურავის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'აზბესტის სახურავის მოწყობა (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'თუნუქის ჟოლობის მუხლი', 'თუნუქის ჟოლობის ღარი', 'თუნუქის სახურავის მოწყობა', 'თუნუქის ღარის სამაგრი', 'თუნუქის ღარის ძაბრი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'პოლიკარბონატის სახურავის მოწყობა', 'პროფილირებული თუნუქის ფილა', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'სენდვიჩ პანელის სახურავის გადაბმების დამუშავება გერმეტიკით.', 'სენდვიჩ პანელის სახურავის ფილა', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული არმსტრონგის ფილების დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'არმსტრონგის (ნესტგამძლე) შეკიდული ჭერის მოწყობა', 'არმსტრონგის ჭერი', 'არმსტრონგის ჭერის კარკასი დეტალებით', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სახურავზე კრამიტის ფილების მოწყობა', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'ფილების სამონტაჟო პლასტიკატის დეტალები', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი,"['(მეტალო, ალდოქსი, იზოპროფილი) ვიტრაჟული კარის ჩანაცვლება (ორ ფრთიანი)', 'აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი,"['(მეტალო, ალდოქსი, იზოპროფილი) ვიტრაჟული კარის ჩანაცვლება (ორ ფრთიანი)', 'აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ახალი მდფ-ის  კარის ბლოკის მონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის ამოშენება', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ჟოლობის დემონტაჟი', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კარის ბლოკი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მდფ-ის ფილა (2,88X1,2)', 'მდფ-ის ფილა (2,88X1,2) დაჭრა/დაწიბოება', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პლინტუსი მდფ-ის', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
ბლოკის კედლის დემონტაჟი,"['აგურის კედლის ამოშენება', 'აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ახალი მდფ-ის  კარის ბლოკის მონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის ამოშენება', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული ჟოლობის დემონტაჟი', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'კედლის დამუშავება/შეღებვა', 'კედლის ლესვა', 'კედლის ნალესის დემონტაჟი', 'კედლის პროფილი F', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი აღდგენა', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'სენდვიჩ პანელის კედლის ფილა', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
დაზიანებული ჟოლობის დემონტაჟი,"['აგურის კედლის დემონტაჟი', 'აზბესტის სახურავის დემონტაჟი (შიფერი)', 'ალუკაბონდის დემონტაჟი', 'ალუკაბონდის კონსტრუქციის დემონტაჟი', 'ბეტონის დემონტაჟი', 'ბლოკის კედლის დემონტაჟი', 'დაზიანებული არმსტრონგის ფილების დემონტაჟი', 'დაზიანებული ბარისოლის საფარის დემონტაჟი', 'დაზიანებული ელექტროობის დემონტაჟი', 'დაზიანებული ვიტრაჟული კარის/ფანჯრის დემონტაჟი', 'დაზიანებული თაბ.მუყ. ჭერის/კედლის საფარის დემონტაჟი', 'დაზიანებული თბ.მუყ. ტიხრის დემონტაჟი', 'დაზიანებული თუნუქის სახურავის დემონტაჟი', 'დაზიანებული იატაკის პლინტუსების დემონტაჟი', 'დაზიანებული კაფელ-მეტლახის დემონტაჟი სააბაზანოში', 'დაზიანებული კედლის ფენილების გასუფთავება', 'დაზიანებული ლამინირებული იატაკის ფილების დემონტაჟი', 'დაზიანებული მდფ -ს კარის ბლოკის დემონტაჟი', 'დაზიანებული მემბრანა ტოლის დემონტაჟი სახურავზე', 'დაზიანებული მინაპაკეტის დემონტაჟი', 'დაზიანებული პარკეტის დემონტაჟი', 'დაზიანებული პარკეტის ზედაპირის გასუფთავება (მოხვეწა)', 'დაზიანებული ჟოლობის აღდგენა', 'დაზიანებული ფენილის გასუფთავება ფასადზე', 'დაზიანებული შეკიდული ჭერი (პლასტიკატი)', 'დაზიანებული შპალერის მოხსნა', 'დაზიანებული ჭერის ფენილის გასუფთავება', 'ვინილის/ლინოლეუმის იატაკის დემონტაჟი', 'თუნუქის ჟოლობის მუხლი', 'თუნუქის ჟოლობის ღარი', 'კაფელის დაზიანებული პირაპირების აწმენდა (ფუგა)', 'კედლის ნალესის დემონტაჟი', 'მდფ-ის ავეჯის სრული დემონტაჟი', 'მდფ-ის დაზიანებული ნაწილების დემონტაჟი', 'მოჭიმული იატაკის დემონტაჟი', 'ნარმის ჭერის დემონტაჟი', 'პლასტმასის ჟოლობის მუხლი', 'პლასტმასის ჟოლობის ღარი', 'პოლიკარბონატის სახურავის დემონტაჟი', 'რბილი იტაკის დემონტაჟი', 'სარეკლამო მანათობელი ყუთის დემონტაჟი', 'სასაწყობე ელექტრო კარი ჟალუზის დემონტაჟი', 'სახურავზე კრამიტის ფილების დემონტაჟი', 'სენდვიჩ პანელის კედლის - ჭერის  ნაწილობრივი დემონტაჟი', 'შეღებილი ქაღალდის ჭერის/კედლის ფენილის დემონტაჟი', 'შინგლის/რბილი კრამიტის დემონტაჟი', 'ხის იატაკის დემონტაჟი', 'ხის ფანჯრის/კარის დემონტაჟი']"
